tournament,tier,round,start_date,host_country,player_a,player_a_nat,player_b,player_b_nat,player_a_won,same_nationality,h2h_win_rate_a_vs_b,player_a_is_home,player_a_matches_last_14_days,player_a_days_since_last_match,player_a_recent_win_rate,player_b_is_home,player_b_matches_last_14_days,player_b_days_since_last_match,player_b_recent_win_rate,player_a_elo,player_b_elo,elo_diff,player_a_ema_form,player_b_ema_form,h2h_last_winner,player_a_win_streak,player_b_win_streak,player_a_matches_last_7_days,player_b_matches_last_7_days
Orléans Masters 2021,100,Semi-finals,2021-03-23,France,Hans-Kristian Vittinghus,Denmark,Mads Christophersen,Denmark,0,1,0.5,0,2,6,0.5,0,0,100,0.5,1533.61,1519.71,13.9,0.8439,0.755,0.5,4,2,2,0
Orléans Masters 2021,100,Second Round,2021-03-23,France,Srikanth Kidambi,India,Ajay Jayaram,India,1,1,0.5,0,1,6,0.6,0,0,21,0.6667,1501.64,1512.01,-10.37,0.5439,0.6185,0.5,-1,1,1,0
Orléans Masters 2021,100,Second Round,2021-03-23,France,Ajay Jayaram,India,Alap Mishra,India,0,1,0.5,0,0,21,0.6667,0,0,100,0.5,1501.72,1500.0,1.72,0.4329,0.5,0.5,-1,0,0,0
Orléans Masters 2021,100,Third Round,2021-03-23,France,Srikanth Kidambi,India,Cheam June Wei,Malaysia,1,0,0.5,0,1,6,0.6,0,0,100,0.5,1511.94,1500.0,11.94,0.6808,0.5,0.5,1,0,1,0
Orléans Masters 2021,100,Second Round,2021-03-23,France,Samuel Hsiao,Germany,Ygor Coelho de Oliveira,Brazil,0,0,0.5,0,0,100,0.5,0,1,6,0.0,1500.0,1468.38,31.62,0.5,0.245,0.5,0,-2,0,1
Orléans Masters 2021,100,Quarter-finals,2021-03-23,France,Srikanth Kidambi,India,Toma Junior Popov,France,0,0,0.5,0,1,6,0.6,1,1,6,0.0,1521.6,1480.66,40.94,0.7765,0.4715,0.5,2,1,1,1
Orléans Masters 2021,100,Final,2021-03-23,France,Toma Junior Popov,France,Mads Christophersen,Denmark,1,0,0.5,1,1,6,0.0,0,0,100,0.5,1491.83,1530.11,-38.28,0.63,0.8285,0.5,2,3,1,0
Orléans Masters 2021,100,Second Round,2021-03-23,France,Toma Junior Popov,France,Ade Resky Dwicahyo,Azerbaijan,1,0,0.5,1,1,6,0.0,0,0,100,0.5,1502.93,1500.0,2.93,0.741,0.5,0.5,3,0,1,0
Orléans Masters 2021,100,Third Round,2021-03-23,France,Toma Junior Popov,France,Philip Illum Klindt,Denmark,0,0,0.5,1,1,6,0.0,0,0,100,0.5,1512.85,1500.0,12.85,0.8187,0.5,0.5,4,0,1,0
Orléans Masters 2021,100,Second Round,2021-03-23,France,Alex Lane,England,Lino Muñoz,Mexico,0,0,0.5,0,0,100,0.5,0,0,100,0.5,1500.0,1500.0,0.0,0.5,0.5,0.5,0,0,0,0
Orléans Masters 2021,100,Second Round,2021-03-23,France,Kunlavut Vitidsarn,Thailand,Thomas Fourcade,France,1,0,0.5,0,1,6,0.6667,1,0,100,0.5,1500.69,1500.0,0.69,0.3018,0.5,0.5,-3,0,1,0
Orléans Masters 2021,100,Third Round,2021-03-23,France,Kunlavut Vitidsarn,Thailand,Xiaodong Sheng,Canada,1,0,0.5,0,1,6,0.6667,0,0,21,0.0,1510.67,1487.59,23.09,0.5113,0.35,0.5,1,-1,1,0
Orléans Masters 2021,100,Second Round,2021-03-23,France,Xiaodong Sheng,Canada,Kim Bruun,Denmark,1,0,0.5,0,0,21,0.0,0,0,100,0.5,1478.25,1500.0,-21.75,0.245,0.5,0.5,-2,0,0,0
Orléans Masters 2021,100,Quarter-finals,2021-03-23,France,Kunlavut Vitidsarn,Thailand,Brice Leverdez,France,1,0,0.5,0,1,6,0.6667,1,1,6,0.0,1520.01,1492.88,27.13,0.6579,0.545,0.5,2,1,1,1
Orléans Masters 2021,100,Second Round,2021-03-23,France,Prannoy Kumar,India,Mark Caljouw,Netherlands,0,0,0.0,0,2,6,0.3333,0,4,6,0.6667,1490.84,1533.45,-42.6,0.4715,0.5691,0.0,1,-1,2,4
Orléans Masters 2021,100,Second Round,2021-03-23,France,Parupalli Kashyap,India,Toma Junior Popov,France,0,0,0.5,0,1,6,0.0,1,1,6,0.0,1468.3,1502.48,-34.18,0.245,0.5731,0.5,-2,-1,1,1
Spain Masters 2021,300,First Round,2021-05-18,Spain,Lee Dong-keun,South Korea,Ditlev Jæger Holm,Denmark,1,0,0.5,0,0,100,0.5,0,0,56,0.75,1500.0,1518.1,-18.1,0.5,0.5799,0.5,0,-1,0,0
Spain Masters 2021,300,First Round,2021-05-18,Spain,Maxime Moreels,Belgium,Pablo Abián,Spain,0,0,0.5,0,0,100,0.5,1,0,62,0.3333,1500.0,1480.93,19.07,0.5,0.3815,0.5,0,-1,0,0
